airport_name,country
US,31991
BR,7438
JP,3738
CA,3226
AU,2683
MX,2681
FR,1709
RU,1706
GB,1523
KR,1408
DE,1395
AR,946
IT,942
PH,797
CO,733
CN,716
ZA,652
PG,646
ID,633
IN,630
VE,604
ES,560
CL,511
TR,386
CZ,384
PL,383
KE,373
EC,357
CD,306
NO,299
IR,290
NZ,285
NL,274
UA,271
NA,260
AE,255
SE,255
PT,233
BG,229
TZ,210
PE,206
BO,205
BE,202
PK,189
KZ,184
AT,184
UZ,180
SA,167
GR,160
HN,159
ZW,155
CU,155
DK,145
CR,144
RO,143
EG,141
HU,138
MY,136
BW,134
SK,129
CH,127
ZM,126
IE,125
FI,125
TW,122
PY,119
TH,118
AO,118
DZ,112
HK,103
MZ,100
MG,94
VN,94
KP,94
GL,91
PA,91
SS,91
IS,91
IQ,90
CY,90
MM,82
LV,81
LY,80
AF,79
BS,77
LT,74
HR,70
GT,70
UY,70
BY,70
PR,70
NG,66
ET,66
NP,65
RS,65
EE,60
OM,60
IL,58
PF,57
SD,57
SY,57
BD,57
KG,56
SR,56
CG,56
GY,56
TM,51
BF,50
CF,49
DO,48
SI,47
GA,46
TD,45
NI,44
YE,44
SO,43
MA,43
UG,41
AZ,41
SB,40
CM,40
AQ,40
MN,40
FK,39
LB,38
LK,38
ML,37
FJ,37
MH,36
VU,36
BZ,36
GE,35
MR,34
LS,34
CI,31
MK,31
MV,30
EH,30
MW,30
SV,29
JM,27
NC,27
NE,27
KW,26
BA,26
LA,25
TN,25
JO,24
KI,23
SC,22
GF,22
HT,22
SN,21
QA,21
AL,20
LR,20
TJ,19
GH,18
GN,17
KH,17
DJ,17
SZ,17
BN,16
FO,16
AM,16
LU,15
XK,14
MD,14
TL,14
MP,12
BT,12
SL,12
SG,11
BH,11
RE,11
ER,10
KY,10
CK,10
GP,10
CV,10
BJ,10
RW,9
TC,9
MT,9
VI,9
XP,9
UM,9
ME,8
GU,7
GW,7
BI,7
GQ,7
PS,7
TF,7
IM,7
TG,7
FM,7
MU,7
VG,6
TO,6
VC,6
AG,6
MO,5
WS,5
BQ,4
AS,4
ST,4
SH,4
GG,4
KM,4
MQ,4
BM,4
MC,3
TT,3
TV,3
GD,3
AW,3
PW,3
AD,3
KN,3
HM,2
PM,2
MS,2
AI,2
MF,2
LC,2
SM,2
LI,2
WF,2
BB,2
DM,2
IO,1
NF,1
NR,1
VA,1
CW,1
CX,1
NU,1
YT,1
SX,1
CC,1
GS,1
BL,1
GM,1
JE,1
GI,1
